Time@Axial Accel (Gs),Axial Accel (Gs),bILBA,Time@Lateral Accel (Gs),Lateral Accel (Gs),bILBA
1.25375,18.19,b1100,2.5075,1.22,b1100
1.25625,18.19,b1100,2.5125,1.66,b1100
1.25875,18.19,b1100,2.5175,1.66,b1100
1.26125,18.19,b1100,2.5225,1.75,b1100
1.26375,18.26,b1100,2.5275,1.57,b1100
1.26625,18.12,b1100,2.5325,1.66,b1100
1.26875,18.19,b1100,2.5375,1.4,b1100
1.27125,18.26,b1100,2.5425,1.4,b1100
1.27375,18.19,b1100,2.5475,1.4,b1100
1.27625,18.19,b1100,2.5525,1.4,b1100
1.27875,18.19,b1100,2.5575,1.13,b1100
1.28125,18.26,b1100,2.5625,1.13,b1100
1.28375,18.26,b1100,2.5675,1.22,b1100
1.28625,18.26,b1100,2.5725,1.05,b1100
1.28875,18.19,b1100,2.5775,1.66,b1100
1.29125,18.19,b1100,2.5825,1.48,b1100
1.29375,18.26,b1100,2.5875,1.57,b1100
1.29625,18.33,b1100,2.5925,0.52,b1100
1.29875,18.47,b1100,2.5975,1.22,b1100
1.30125,18.4,b1100,2.6025,1.05,b1100
1.30375,18.19,b1100,2.6075,1.4,b1100
1.30625,18.26,b1100,2.6125,1.05,b1100
